,Gr1,Gr2,Gr1_Mean,Gr2_Mean,Critical_Value,P_value,Status
Bengali,Male,Female,30.4,27.866666666666667,0.05,0.429,No Difference in Means
English,Male,Female,29.833333333333332,30.666666666666668,0.05,0.814,No Difference in Means
History,Male,Female,29.633333333333333,28.266666666666666,0.05,0.675,No Difference in Means
Geography,Male,Female,29.1,27.533333333333335,0.05,0.623,No Difference in Means
Statistics,Male,Female,30.466666666666665,31.533333333333335,0.05,0.728,No Difference in Means
